,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2158,2015-12-20,,2.1,24.0,68.0,103.0,,,,14.0,,1.4541666666666668,9.041666666666666,47.875,61.291666666666664,,,,7.041666666666667
2159,2015-12-21,,3.5,124.0,69.0,234.0,,,,6.0,,1.6666666666666663,23.25,43.375,78.41666666666667,,,,2.125
2160,2015-12-22,,2.7,71.0,83.0,186.0,,,,1.0,,1.779166666666667,20.083333333333332,42.541666666666664,72.79166666666667,,,,1.0
2161,2015-12-23,,2.4,54.0,85.0,163.0,45.0,62.0,51.0,1.0,,1.6291666666666667,18.5,51.708333333333336,79.58333333333333,32.142857142857146,47.42857142857143,37.5,1.0
2162,2015-12-24,,4.9,58.0,85.0,153.0,50.0,68.0,56.0,1.0,,1.7750000000000001,18.333333333333332,46.0,73.83333333333333,29.0,39.458333333333336,32.833333333333336,1.0
2163,2015-12-25,,2.0,31.0,76.0,115.0,43.0,57.0,48.0,1.0,,1.1916666666666669,6.791666666666667,33.541666666666664,43.416666666666664,26.833333333333332,34.791666666666664,29.541666666666668,1.0
2164,2015-12-26,,2.8,15.0,62.0,74.0,33.0,41.0,36.0,1.0,,1.2583333333333335,3.4166666666666665,22.625,27.291666666666668,22.0,26.5,23.791666666666668,1.0
2165,2015-12-27,,3.0,20.0,91.0,122.0,31.0,43.0,35.0,1.0,,1.4000000000000001,5.083333333333333,28.541666666666668,36.166666666666664,21.733333333333334,24.466666666666665,22.933333333333334,1.0
2166,2015-12-28,,3.4,31.0,73.0,120.0,25.0,29.0,27.0,2.0,,1.4874999999999998,5.375,31.875,39.541666666666664,20.285714285714285,25.428571428571427,22.714285714285715,1.0416666666666667
2167,2015-12-29,,5.4,111.0,180.0,240.0,18.0,28.0,21.0,1.0,,2.0625,19.5,41.458333333333336,70.5,16.333333333333332,22.666666666666668,18.666666666666668,1.0
2168,2015-12-30,,3.2,58.0,74.0,163.0,,,,1.0,,2.2666666666666666,13.833333333333334,33.791666666666664,54.416666666666664,,,,1.0
2169,2015-12-31,,2.4,57.0,71.0,153.0,,,,3.0,,1.6083333333333334,16.875,39.083333333333336,64.66666666666667,,,,1.125
2170,2016-01-01,,3.6,17.0,60.0,83.0,,,,2.0,,1.8291666666666664,6.291666666666667,29.041666666666668,38.5,,,,1.0416666666666667
2171,2016-01-02,,3.5,12.0,42.0,56.0,,,,1.0,,1.608333333333334,2.125,16.458333333333332,19.166666666666668,,,,1.0
2172,2016-01-03,,2.5,13.0,45.0,62.0,,,,1.0,,1.4624999999999997,3.875,19.875,25.166666666666668,,,,1.0
2173,2016-01-04,,3.7,55.0,71.0,153.0,,,,1.0,,1.55,9.75,33.041666666666664,47.625,,,,1.0
2174,2016-01-05,,1.7,7.0,38.0,48.0,,,,1.0,,1.1541666666666668,2.3333333333333335,13.875,17.083333333333332,,,,1.0
2175,2016-01-06,,1.8,4.0,36.0,41.0,,,,1.0,,1.2666666666666668,1.7916666666666667,10.291666666666666,12.416666666666666,,,,1.0
2176,2016-01-07,,3.1,72.0,73.0,183.0,,,,12.0,,1.8666666666666671,10.041666666666666,31.5,46.5,,,,3.782608695652174
2177,2016-01-08,,2.5,88.0,63.0,197.0,,,,7.0,,1.4208333333333334,15.791666666666666,30.666666666666668,54.208333333333336,,,,3.4166666666666665
2178,2016-01-09,,7.2,23.0,61.0,80.0,,,,1.0,,1.8541666666666672,5.5,25.5,33.5,,,,1.0
2179,2016-01-10,,2.6,19.0,63.0,87.0,,,,2.0,,1.495833333333333,5.541666666666667,26.375,34.208333333333336,,,,1.0416666666666667
2180,2016-01-11,,1.8,12.0,50.0,61.0,,,,1.0,,1.3916666666666666,2.9583333333333335,17.708333333333332,21.708333333333332,,,,1.0
2181,2016-01-12,,1.5,2.0,25.0,27.0,,,,3.0,,1.1874999999999998,1.2083333333333333,8.875,10.25,,,,1.0869565217391304
2182,2016-01-13,,2.7,46.0,70.0,139.0,,,,3.0,,1.6875000000000002,10.333333333333334,34.083333333333336,49.291666666666664,,,,1.25
2183,2016-01-14,,4.9,136.0,78.0,281.0,,,,5.0,,1.7833333333333334,21.833333333333332,33.916666666666664,67.08333333333333,,,,1.6666666666666667
2184,2016-01-15,,3.8,32.0,54.0,104.0,,,,6.0,,1.547619047619048,5.666666666666667,22.666666666666668,31.0,,,,1.5454545454545454
2185,2016-01-16,,2.6,4.0,12.0,17.0,,,,1.0,,1.4541666666666666,1.75,6.5,8.458333333333334,,,,1.0
2186,2016-01-17,,2.0,20.0,62.0,87.0,,,,1.0,,1.2625000000000002,5.083333333333333,23.875,31.166666666666668,,,,1.0
2187,2016-01-18,,3.0,71.0,59.0,166.0,,,,4.0,,2.0541666666666663,12.545454545454545,28.363636363636363,47.04545454545455,,,,1.8333333333333333
2188,2016-01-19,,3.4,90.0,84.0,218.0,,,,5.0,,1.9708333333333334,15.083333333333334,31.708333333333332,54.125,,,,1.6666666666666667
2189,2016-01-20,,3.6,71.0,97.0,200.0,,,,13.0,,1.841666666666667,16.833333333333332,47.041666666666664,72.5,,,,3.9166666666666665
2190,2016-01-21,,4.1,75.0,105.0,219.0,,,,15.0,,1.6041666666666663,15.583333333333334,43.791666666666664,67.20833333333333,,,,3.5833333333333335
2191,2016-01-22,,2.9,98.0,103.0,254.0,,,,10.0,,1.508333333333333,25.5,56.583333333333336,95.29166666666667,,,,4.166666666666667
2192,2016-01-23,,2.3,41.0,82.0,134.0,,,,12.0,,1.3791666666666664,12.416666666666666,44.666666666666664,63.625,,,,6.583333333333333
2193,2016-01-24,,2.4,31.0,81.0,127.0,,,,13.0,,1.5125,7.041666666666667,40.625,51.166666666666664,,,,6.791666666666667
2194,2016-01-25,,4.6,61.0,100.0,180.0,,,,8.0,,1.5791666666666664,13.541666666666666,47.041666666666664,67.16666666666667,,,,6.666666666666667
2195,2016-01-26,,1.8,78.0,83.0,203.0,,,,8.0,,1.4000000000000004,13.958333333333334,49.0,70.0,,,,5.125
